item_id,shop_id,shop_name,name,currency,stock,ctime,historical_sold,liked_count,cat_id,brand,price,price_min,price_max,price_min_before_discount,price_max_before_discount,raw_discount,rating_total,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,rating_star,shop_location
18522691491,277366270,4MEN OFFICIAL,"Áo Sơ Mi Nam Trơn Regular Mr Friendly 4MEN SM092 đẹp, form dáng thanh lịch, vải cotton thoáng mát, thấm mồ hôi",VND,1,2022-07-12,5,3,100011,,315000,315000,315000,-1,-1,0,1,0,0,0,0,1,5.0,TP. Hồ Chí Minh
22315317103,277366270,4MEN OFFICIAL,"Áo Thun Nam In Slimfit Meowww 4MEN AT125 cổ tròn, Tshirt ngắn tay, thấm mồ hôi, thoáng mát, mềm mại, trẻ trung",VND,3,2022-12-30,1,0,100011,,275000,275000,275000,-1,-1,0,0,0,0,0,0,0,0.0,TP. Hồ Chí Minh
16388832409,277366270,4MEN OFFICIAL,Áo Khoác Regular Da Lộn 4MEN AK043,VND,31,2022-10-31,0,0,100011,,685000,685000,685000,-1,-1,0,0,0,0,0,0,0,0.0,TP. Hồ Chí Minh
20652981710,277366270,4MEN OFFICIAL,"Áo Sơ Mi Regular Caro 4MEN SM112 vải sợi tổng hợp thoáng mồ hôi, mềm mịn, màu basic, thanh lịch, hiện đại",VND,2,2022-10-08,6,5,100011,,345000,345000,345000,-1,-1,0,1,0,0,0,0,1,5.0,TP. Hồ Chí Minh
4741205718,277366270,4MEN OFFICIAL,"Quần Tây Nam Kẻ Sọc Đẹp 4MEN QT150 Form Slim-Cropped, Vải Cao Cấp",VND,1,2020-07-07,34,17,100011,No Brand,385000,385000,385000,-1,-1,0,10,0,0,1,0,9,4.8,TP. Hồ Chí Minh
17371063583,277366270,4MEN OFFICIAL,"Áo Thun Nam 4MEN Regular Thêu AT072 cổ tròn, tay ngắn, chất liệu cotton thoáng mát, dày dặn, đẹp dễ phối đồ",VND,167,2022-05-27,53,5,100011,,245000,245000,245000,-1,-1,0,9,1,0,0,0,8,4.555555555555555,TP. Hồ Chí Minh
22414707267,277366270,4MEN OFFICIAL,"Áo Thun Nam In Regular Catman 4MEN AT123 cổ tròn, Tshirt ngắn tay, thấm mồ hôi, thoáng mát, mềm mại, trẻ trung",VND,3,2022-12-28,0,0,100011,,275000,275000,275000,-1,-1,0,0,0,0,0,0,0,0.0,TP. Hồ Chí Minh
18282133248,277366270,4MEN OFFICIAL,"Áo Polo Sọc Ngang Phối Cổ Form Regular 4MEN PO114 tay ngắn cổ bẻ thanh lịch, vải thoáng khí, co giãn mềm mại",VND,1,2023-07-21,3,1,100011,,375000,375000,375000,-1,-1,0,0,0,0,0,0,0,0.0,TP. Hồ Chí Minh
21164076463,277366270,4MEN OFFICIAL,"Áo Sơ Mi Nam Loose Cài Nút 4MEN SM120 ngắn tay, cổ mở mềm mại, chất vải thấm mồ hôi, co giãn, thoáng mát",VND,16,2022-11-22,13,3,100011,,345000,345000,345000,-1,-1,0,2,0,0,0,0,2,5.0,TP. Hồ Chí Minh
18279463959,277366270,4MEN OFFICIAL,"Quần Tây Nam Trơn Dây Rút Lưng 4MEN QT151 dáng dài cắt gấu, vải mềm mại, co giãn thoải mái, phong cách trẻ trung",VND,1,2023-05-04,15,1,100011,,345000,345000,345000,-1,-1,0,3,0,0,0,0,3,5.0,TP. Hồ Chí Minh
21959066181,277366270,4MEN OFFICIAL,"Quần Jeans Nam Form Slimfit Grey Faded 4MEN QJ070 trơn vải denim đẹp, co giãn, mềm mại, tôn dáng, trẻ trung",VND,1,2022-10-31,4,1,100011,,525000,525000,525000,-1,-1,0,2,1,0,0,0,1,3.0,TP. Hồ Chí Minh
15565491757,277366270,4MEN OFFICIAL,"Áo thun nam 4MEN AT067 cổ tròn, in chữ Basketball Girlfriend, vải cotton đẹp dày dặn, co giãn. thoáng mát",VND,2,2022-03-22,8,5,100011,,275000,275000,275000,-1,-1,0,3,0,0,0,0,3,5.0,TP. Hồ Chí Minh
18261203256,277366270,4MEN OFFICIAL,"Áo Sơ Mi Nam Regular Túi Mổ 4MEN SM117 dài tay có túi, cổ bẻ truyền thống, chất vải mềm mại, co giãn, thoáng mát",VND,8,2022-11-09,3,1,100011,,415000,415000,415000,-1,-1,0,1,0,0,0,0,1,5.0,TP. Hồ Chí Minh
